path,size_bytes,sha256,kind,source,purpose,license_status,candidate_policy
CODE/examples/xiaozhi_ai_demo/spiffs/dingding.wav,12024,7afdf0d1b0457d70996d744b82de7b1e08fa1967dae4e65b512d66237d980706,wav,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_idle_preview_3x.png,12861,e50ba1430bd56acec3ffb3a108c348eb0cb70bf3842089a44bd9d12b650639fd,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_blink_preview_3x.png,11314,7c4a97270783cd877a8f45292750204229a38a08f9269951658c796ba75c4498,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_idle_preview_3x.png,12702,2b85ffea2504e81aecacc38f74796ecaab3f55eca7ff0d14cd60fdbba378b2c0,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_idle_sway_left_up_preview_3x.png,12720,559e33d37d14478b8400f679b49001495b6ccf826d594e8d0d91db619fe98ba2,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_idle_sway_right_up_preview_3x.png,12666,8d46d9bda6f2719d4060d4223018fc982904895a4aa5724dfa4121cd83b200e5,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_listen_focus_preview_3x.png,12672,189660e679a4d95257bae5fca26569d12fcd85ce551900af33941b558608e553,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_talk_closed_preview_3x.png,12702,2b85ffea2504e81aecacc38f74796ecaab3f55eca7ff0d14cd60fdbba378b2c0,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_talk_open_preview_3x.png,13575,c1b46e13c521bec47911f1dfbba674a8ff6ab440f8db7a4dc49d95de798065cb,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_think_preview_3x.png,12471,64af0f85eea5bb5191a70a67c3a13c00749630b64b629066b2044f799e26f84c,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/xiaozhi_companion_robot_demo/assets/expressions/concepts/amber_duck/amber_duck_state_touch_pout_compress_preview_3x.png,11362,4bbbcd5d900510559c9ad46a5cd8bae112b82135df83dde8cb002b4d8f577a62,png,pending-review,inspect owning Example/component,pending,hold-until-s8
